SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Варнавинский район";"Лицо";"Среднее (полное) общее";2591
"Варнавинский район";"Лицо";"Среднее профессиональное (среднее специальное)";2247
"Варнавинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";103
"Варнавинский район";"Лицо";"Высшее профессиональное (высшее)";878
"Варнавинский район";"Лицо";"Послевузовское профессиональное";0
"Варнавинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";99
"Варнавинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";96
"Вачский район";"Лицо";"Не указавшие образование";1573
"Вачский район";"Лицо";"Начальное общее (начальное)";5166
"Вачский район";"Лицо";"Основное общее (неполное среднее)";5015
"Вачский район";"Лицо";"Среднее (полное) общее";5771
"Вачский район";"Лицо";"Среднее профессиональное (среднее специальное)";3916
"Вачский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";203
"Вачский район";"Лицо";"Высшее профессиональное (высшее)";1361
"Вачский район";"Лицо";"Послевузовское профессиональное";9
"Вачский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";132
"Вачский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";138
"Ветлужский район";"Лицо";"Не указавшие образование";1517
"Ветлужский район";"Лицо";"Начальное общее (начальное)";3529
"Ветлужский район";"Лицо";"Основное общее (неполное среднее)";3757
"Ветлужский район";"Лицо";"Среднее (полное) общее";2671
"Ветлужский район";"Лицо";"Среднее профессиональное (среднее специальное)";5395
"Ветлужский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";234
"Ветлужский район";"Лицо";"Высшее профессиональное (высшее)";1218
"Ветлужский район";"Лицо";"Послевузовское профессиональное";0
"Ветлужский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";223
"Ветлужский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";129
"Вознесенский район";"Лицо";"Не указавшие образование";1788
"Вознесенский район";"Лицо";"Начальное общее (начальное)";4540
"Вознесенский район";"Лицо";"Основное общее (неполное среднее)";4100
"Вознесенский район";"Лицо";"Среднее (полное) общее";4419
"Вознесенский район";"Лицо";"Среднее профессиональное (среднее специальное)";3011
"Вознесенский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";108
"Вознесенский район";"Лицо";"Высшее профессиональное (высшее)";1108
"Вознесенский район";"Лицо";"Послевузовское профессиональное";0
"Вознесенский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";293
"Вознесенский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";306
"Воротынский район";"Лицо";"Не указавшие образование";1683
"Воротынский район";"Лицо";"Начальное общее (начальное)";4888
"Воротынский район";"Лицо";"Основное общее (неполное среднее)";4577
"Воротынский район";"Лицо";"Среднее (полное) общее";4872
"Воротынский район";"Лицо";"Среднее профессиональное (среднее специальное)";3561
"Воротынский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";209
"Воротынский район";"Лицо";"Высшее профессиональное (высшее)";1259
"Воротынский район";"Лицо";"Послевузовское профессиональное";5
"Воротынский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";286
"Воротынский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";268
"Воскресенский район";"Лицо";"Не указавшие образование";1929
"Воскресенский район";"Лицо";"Начальное общее (начальное)";6375
"Воскресенский район";"Лицо";"Основное общее (неполное среднее)";4963
"Воскресенский район";"Лицо";"Среднее (полное) общее";5052
"Воскресенский район";"Лицо";"Среднее профессиональное (среднее специальное)";4286
"Воскресенский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";236
"Воскресенский район";"Лицо";"Высшее профессиональное (высшее)";1537
"Воскресенский район";"Лицо";"Послевузовское профессиональное";16
"Воскресенский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";374
"Воскресенский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";254
"Выксунский район";"Лицо";"Не указавшие образование";2584
"Выксунский район";"Лицо";"Начальное общее (начальное)";6279
"Выксунский район";"Лицо";"Основное общее (неполное среднее)";5687
"Выксунский район";"Лицо";"Среднее (полное) общее";7379
"Выксунский район";"Лицо";"Среднее профессиональное (среднее специальное)";5896
"Выксунский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";234
"Выксунский район";"Лицо";"Высшее профессиональное (высшее)";1044
"Выксунский район";"Лицо";"Послевузовское профессиональное";30
"Выксунский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";172
"Выксунский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";173
"Гагинский район";"Лицо";"Не указавшие образование";1172
"Гагинский район";"Лицо";"Начальное общее (начальное)";3814
"Гагинский район";"Лицо";"Основное общее (неполное среднее)";2926
"Гагинский район";"Лицо";"Среднее (полное) общее";2707
"Гагинский район";"Лицо";"Среднее профессиональное (среднее специальное)";3104
"Гагинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";116
"Гагинский район";"Лицо";"Высшее профессиональное (высшее)";823
"Гагинский район";"Лицо";"Послевузовское профессиональное";0
"Гагинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";178
"Гагинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";189
"Городецкий район";"Лицо";"Не указавшие образование";5564
"Городецкий район";"Лицо";"Начальное общее (начальное)";10425
"Городецкий район";"Лицо";"Основное общее (неполное среднее)";11654
"Городецкий район";"Лицо";"Среднее (полное) общее";13033
"Городецкий район";"Лицо";"Среднее профессиональное (среднее специальное)";15728
"Городецкий район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";1179
"Городецкий район";"Лицо";"Высшее профессиональное (высшее)";6328
