SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Образование by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Образование","Наименование территориальной единицы",
"Лицо","Основное общее (неполное среднее)","Северский район",18151
"Лицо","Основное общее (неполное среднее)","Славянский район",13866
"Лицо","Основное общее (неполное среднее)","Староминский район",7591
"Лицо","Основное общее (неполное среднее)","Тбилисский район",9284
"Лицо","Основное общее (неполное среднее)","Темрюкский район",18546
"Лицо","Основное общее (неполное среднее)","Тимашевский район",18698
"Лицо","Основное общее (неполное среднее)","Тихорецкий район",12605
"Лицо","Основное общее (неполное среднее)","Туапсинский район",9093
"Лицо","Основное общее (неполное среднее)","Успенский район",7540
"Лицо","Основное общее (неполное среднее)","Усть-Лабинский район",17724
"Лицо","Основное общее (неполное среднее)","Щербиновский район",6906
"Лицо","Основное общее (неполное среднее)","Города краевого подчинения Краснодарского края",0
"Лицо","Основное общее (неполное среднее)","г. Краснодар",85075
"Лицо","Основное общее (неполное среднее)","Сельские населенные пункты, подчиненные администрации г. Анапа",6701
"Лицо","Основное общее (неполное среднее)","г. Армавир",32028
"Лицо","Основное общее (неполное среднее)","г. Белореченск",8945
"Лицо","Основное общее (неполное среднее)","г. Геленджик",12001
"Лицо","Основное общее (неполное среднее)","г. Горячий Ключ",8543
"Лицо","Основное общее (неполное среднее)","г. Ейск",13701
"Лицо","Основное общее (неполное среднее)","г. Кропоткин",10895
"Лицо","Основное общее (неполное среднее)","г. Крымск",8781
"Лицо","Основное общее (неполное среднее)","Сельские населенные пункты, подчиненные администрации г. Лабинска",10384
"Лицо","Основное общее (неполное среднее)","г. Новороссийск",36496
"Лицо","Основное общее (неполное среднее)","г. Славянск-на-Кубани",11839
"Лицо","Основное общее (неполное среднее)","г. Сочи",51175
"Лицо","Основное общее (неполное среднее)","г. Тихорецк",9683
"Лицо","Основное общее (неполное среднее)","г. Туапсе",7256
"Лицо","Среднее (полное) общее","Краснодарский край",0
"Лицо","Среднее (полное) общее","Районы Краснодарского края",0
"Лицо","Среднее (полное) общее","Абинский район",18864
"Лицо","Среднее (полное) общее","Анапский район",17818
"Лицо","Среднее (полное) общее","Апшеронский район",20298
"Лицо","Среднее (полное) общее","Белоглинский район",7754
"Лицо","Среднее (полное) общее","Белореченский район",10837
"Лицо","Среднее (полное) общее","Брюховецкий район",13689
"Лицо","Среднее (полное) общее","Выселковский район",15002
"Лицо","Среднее (полное) общее","Гулькевичский район",24290
"Лицо","Среднее (полное) общее","Динской район",31075
"Лицо","Среднее (полное) общее","Ейский район",11512
"Лицо","Среднее (полное) общее","Кавказский район",12326
"Лицо","Среднее (полное) общее","Калининский район",13311
"Лицо","Среднее (полное) общее","Каневский район",23505
"Лицо","Среднее (полное) общее","Кореновский район",20788
"Лицо","Среднее (полное) общее","Красноармейский район",25603
"Лицо","Среднее (полное) общее","Крыловский район",8627
"Лицо","Среднее (полное) общее","Крымский район",16172
"Лицо","Среднее (полное) общее","Курганинский район",26139
"Лицо","Среднее (полное) общее","Кущевский район",16108
"Лицо","Среднее (полное) общее","Лабинский район",9475
"Лицо","Среднее (полное) общее","Ленинградский район",15000
"Лицо","Среднее (полное) общее","Мостовский район",18486
"Лицо","Среднее (полное) общее","Новокубанский район",20994
"Лицо","Среднее (полное) общее","Новопокровский район",11176
