SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Образование"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Образование",
"Коломенский район","Лицо","Основное общее (неполное среднее)",8209
"Коломенский район","Лицо","Среднее (полное) общее",9572
"Коломенский район","Лицо","Среднее профессиональное (среднее специальное)",8309
"Коломенский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",597
"Коломенский район","Лицо","Высшее профессиональное (высшее)",3633
"Коломенский район","Лицо","Послевузовское профессиональное",31
"Коломенский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",145
"Коломенский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",178
"Красногорский район","Лицо","Не указавшие образование",26886
"Красногорский район","Лицо","Начальное общее (начальное)",12003
"Красногорский район","Лицо","Основное общее (неполное среднее)",15338
"Красногорский район","Лицо","Среднее (полное) общее",25896
"Красногорский район","Лицо","Среднее профессиональное (среднее специальное)",31911
"Красногорский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4743
"Красногорский район","Лицо","Высшее профессиональное (высшее)",30163
"Красногорский район","Лицо","Послевузовское профессиональное",795
"Красногорский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",217
"Красногорский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",68
"Ленинский район","Лицо","Не указавшие образование",12647
"Ленинский район","Лицо","Начальное общее (начальное)",14227
"Ленинский район","Лицо","Основное общее (неполное среднее)",18583
"Ленинский район","Лицо","Среднее (полное) общее",27919
"Ленинский район","Лицо","Среднее профессиональное (среднее специальное)",34006
"Ленинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",4830
"Ленинский район","Лицо","Высшее профессиональное (высшее)",28119
"Ленинский район","Лицо","Послевузовское профессиональное",703
"Ленинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",322
"Ленинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",180
"Лотошинский район","Лицо","Не указавшие образование",1671
"Лотошинский район","Лицо","Начальное общее (начальное)",2660
"Лотошинский район","Лицо","Основное общее (неполное среднее)",3058
"Лотошинский район","Лицо","Среднее (полное) общее",4640
"Лотошинский район","Лицо","Среднее профессиональное (среднее специальное)",3981
"Лотошинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",304
"Лотошинский район","Лицо","Высшее профессиональное (высшее)",1467
"Лотошинский район","Лицо","Послевузовское профессиональное",13
"Лотошинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",83
"Лотошинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",61
"Луховицкий район","Лицо","Не указавшие образование",5368
"Луховицкий район","Лицо","Начальное общее (начальное)",8634
"Луховицкий район","Лицо","Основное общее (неполное среднее)",10407
"Луховицкий район","Лицо","Среднее (полное) общее",14462
"Луховицкий район","Лицо","Среднее профессиональное (среднее специальное)",15200
"Луховицкий район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1133
"Луховицкий район","Лицо","Высшее профессиональное (высшее)",6778
"Луховицкий район","Лицо","Послевузовское профессиональное",76
"Луховицкий район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",208
"Луховицкий район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",200
"Люберецкий район","Лицо","Не указавшие образование",30696
"Люберецкий район","Лицо","Начальное общее (начальное)",23287
"Люберецкий район","Лицо","Основное общее (неполное среднее)",29885
"Люберецкий район","Лицо","Среднее (полное) общее",47000
"Люберецкий район","Лицо","Среднее профессиональное (среднее специальное)",59260
"Люберецкий район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",8854
"Люберецкий район","Лицо","Высшее профессиональное (высшее)",53974
"Люберецкий район","Лицо","Послевузовское профессиональное",1279
"Люберецкий район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",521
"Люберецкий район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",201
"Можайский район","Лицо","Не указавшие образование",6256
"Можайский район","Лицо","Начальное общее (начальное)",9192
"Можайский район","Лицо","Основное общее (неполное среднее)",12183
"Можайский район","Лицо","Среднее (полное) общее",14607
"Можайский район","Лицо","Среднее профессиональное (среднее специальное)",15303
"Можайский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1504
"Можайский район","Лицо","Высшее профессиональное (высшее)",6535
"Можайский район","Лицо","Послевузовское профессиональное",132
"Можайский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",305
"Можайский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",215
"Мытищинский район","Лицо","Не указавшие образование",15749
"Мытищинский район","Лицо","Начальное общее (начальное)",15576
"Мытищинский район","Лицо","Основное общее (неполное среднее)",21900
"Мытищинский район","Лицо","Среднее (полное) общее",30174
"Мытищинский район","Лицо","Среднее профессиональное (среднее специальное)",44082
"Мытищинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",8497
"Мытищинский район","Лицо","Высшее профессиональное (высшее)",46974
"Мытищинский район","Лицо","Послевузовское профессиональное",1079
"Мытищинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",481
"Мытищинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",219
"Наро-Фоминский район","Лицо","Не указавшие образование",19181
"Наро-Фоминский район","Лицо","Начальное общее (начальное)",18909
"Наро-Фоминский район","Лицо","Основное общее (неполное среднее)",25639
"Наро-Фоминский район","Лицо","Среднее (полное) общее",37317
"Наро-Фоминский район","Лицо","Среднее профессиональное (среднее специальное)",41437
"Наро-Фоминский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",5804
"Наро-Фоминский район","Лицо","Высшее профессиональное (высшее)",27901
"Наро-Фоминский район","Лицо","Послевузовское профессиональное",578
"Наро-Фоминский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",407
"Наро-Фоминский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",267
"Ногинский район","Лицо","Не указавшие образование",30234
"Ногинский район","Лицо","Начальное общее (начальное)",23756
"Ногинский район","Лицо","Основное общее (неполное среднее)",36734
"Ногинский район","Лицо","Среднее (полное) общее",44330
"Ногинский район","Лицо","Среднее профессиональное (среднее специальное)",51360
"Ногинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6531
"Ногинский район","Лицо","Высшее профессиональное (высшее)",33586
"Ногинский район","Лицо","Послевузовское профессиональное",1269
"Ногинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",482
"Ногинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",305
"Одинцовский район","Лицо","Не указавшие образование",24398
"Одинцовский район","Лицо","Начальное общее (начальное)",24828
"Одинцовский район","Лицо","Основное общее (неполное среднее)",33480
"Одинцовский район","Лицо","Среднее (полное) общее",53603
"Одинцовский район","Лицо","Среднее профессиональное (среднее специальное)",67798
"Одинцовский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",10523
"Одинцовский район","Лицо","Высшее профессиональное (высшее)",60443
"Одинцовский район","Лицо","Послевузовское профессиональное",1248
"Одинцовский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",358
"Одинцовский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",243
"Озёрский район","Лицо","Не указавшие образование",3117
"Озёрский район","Лицо","Начальное общее (начальное)",4730
"Озёрский район","Лицо","Основное общее (неполное среднее)",7391
"Озёрский район","Лицо","Среднее (полное) общее",9209
"Озёрский район","Лицо","Среднее профессиональное (среднее специальное)",6984
"Озёрский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",655
"Озёрский район","Лицо","Высшее профессиональное (высшее)",3204
"Озёрский район","Лицо","Послевузовское профессиональное",38
"Озёрский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",149
"Озёрский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",121
"Орехово-Зуевский район","Лицо","Не указавшие образование",10308
"Орехово-Зуевский район","Лицо","Начальное общее (начальное)",17227
"Орехово-Зуевский район","Лицо","Основное общее (неполное среднее)",22397
"Орехово-Зуевский район","Лицо","Среднее (полное) общее",26239
"Орехово-Зуевский район","Лицо","Среднее профессиональное (среднее специальное)",29734
"Орехово-Зуевский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1952
"Орехово-Зуевский район","Лицо","Высшее профессиональное (высшее)",10270
"Орехово-Зуевский район","Лицо","Послевузовское профессиональное",132
"Орехово-Зуевский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",254
"Орехово-Зуевский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",238
"Павлово-Посадский район","Лицо","Не указавшие образование",9888
"Павлово-Посадский район","Лицо","Начальное общее (начальное)",11656
"Павлово-Посадский район","Лицо","Основное общее (неполное среднее)",16832
"Павлово-Посадский район","Лицо","Среднее (полное) общее",27237
"Павлово-Посадский район","Лицо","Среднее профессиональное (среднее специальное)",21722
"Павлово-Посадский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2215
"Павлово-Посадский район","Лицо","Высшее профессиональное (высшее)",11770
"Павлово-Посадский район","Лицо","Послевузовское профессиональное",312
"Павлово-Посадский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",262
"Павлово-Посадский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",180
"Подольский район","Лицо","Не указавшие образование",7540
"Подольский район","Лицо","Начальное общее (начальное)",9261
"Подольский район","Лицо","Основное общее (неполное среднее)",11144
"Подольский район","Лицо","Среднее (полное) общее",16957
"Подольский район","Лицо","Среднее профессиональное (среднее специальное)",18806
"Подольский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",2045
"Подольский район","Лицо","Высшее профессиональное (высшее)",10547
"Подольский район","Лицо","Послевузовское профессиональное",345
"Подольский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",174
"Подольский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",121
"Пушкинский район","Лицо","Не указавшие образование",12299
"Пушкинский район","Лицо","Начальное общее (начальное)",15840
"Пушкинский район","Лицо","Основное общее (неполное среднее)",21374
"Пушкинский район","Лицо","Среднее (полное) общее",31000
"Пушкинский район","Лицо","Среднее профессиональное (среднее специальное)",38144
"Пушкинский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",6319
"Пушкинский район","Лицо","Высшее профессиональное (высшее)",34354
"Пушкинский район","Лицо","Послевузовское профессиональное",824
"Пушкинский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",181
"Пушкинский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",169
"Раменский район","Лицо","Не указавшие образование",17867
"Раменский район","Лицо","Начальное общее (начальное)",23658
"Раменский район","Лицо","Основное общее (неполное среднее)",33658
"Раменский район","Лицо","Среднее (полное) общее",45057
"Раменский район","Лицо","Среднее профессиональное (среднее специальное)",54050
"Раменский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",7223
"Раменский район","Лицо","Высшее профессиональное (высшее)",33019
"Раменский район","Лицо","Послевузовское профессиональное",641
"Раменский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",468
"Раменский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",289
"Рузский район","Лицо","Не указавшие образование",6950
"Рузский район","Лицо","Начальное общее (начальное)",7897
"Рузский район","Лицо","Основное общее (неполное среднее)",10353
"Рузский район","Лицо","Среднее (полное) общее",13515
"Рузский район","Лицо","Среднее профессиональное (среднее специальное)",15162
"Рузский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",1351
"Рузский район","Лицо","Высшее профессиональное (высшее)",7030
"Рузский район","Лицо","Послевузовское профессиональное",177
"Рузский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",275
"Рузский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",157
"Серебряно-Прудский район","Лицо","Не указавшие образование",2112
"Серебряно-Прудский район","Лицо","Начальное общее (начальное)",3787
"Серебряно-Прудский район","Лицо","Основное общее (неполное среднее)",4520
"Серебряно-Прудский район","Лицо","Среднее (полное) общее",6816
"Серебряно-Прудский район","Лицо","Среднее профессиональное (среднее специальное)",4890
"Серебряно-Прудский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",325
"Серебряно-Прудский район","Лицо","Высшее профессиональное (высшее)",1978
"Серебряно-Прудский район","Лицо","Послевузовское профессиональное",16
"Серебряно-Прудский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",77
"Серебряно-Прудский район","Лицо","Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)",103
"Серпуховский район","Лицо","Не указавшие образование",2995
"Серпуховский район","Лицо","Начальное общее (начальное)",4524
"Серпуховский район","Лицо","Основное общее (неполное среднее)",6397
"Серпуховский район","Лицо","Среднее (полное) общее",7784
"Серпуховский район","Лицо","Среднее профессиональное (среднее специальное)",7423
"Серпуховский район","Лицо","Неполное высшее профессиональное (незаконченное высшее)",549
"Серпуховский район","Лицо","Высшее профессиональное (высшее)",3337
"Серпуховский район","Лицо","Послевузовское профессиональное",74
"Серпуховский район","Лицо","Не имеющие начального общего образования - умеющие читать и писать",99
