SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Дерево","Апшеронский район",30581
"Лицо","Дерево","Белоглинский район",1896
"Лицо","Дерево","Белореченский район",9308
"Лицо","Дерево","Брюховецкий район",109
"Лицо","Дерево","Выселковский район",1321
"Лицо","Дерево","Гулькевичский район",149
"Лицо","Дерево","Динской район",379
"Лицо","Дерево","Ейский район",222
"Лицо","Дерево","Кавказский район",810
"Лицо","Дерево","Калининский район",331
"Лицо","Дерево","Каневский район",571
"Лицо","Дерево","Кореновский район",1736
"Лицо","Дерево","Красноармейский район",223
"Лицо","Дерево","Крыловский район",676
"Лицо","Дерево","Крымский район",652
"Лицо","Дерево","Курганинский район",7591
"Лицо","Дерево","Кущевский район",747
"Лицо","Дерево","Лабинский район",10433
"Лицо","Дерево","Ленинградский район",485
"Лицо","Дерево","Мостовский район",20181
"Лицо","Дерево","Новокубанский район",1162
"Лицо","Дерево","Новопокровский район",1374
"Лицо","Дерево","Отрадненский район",737
"Лицо","Дерево","Павловский район",316
"Лицо","Дерево","Приморско-Ахтарский район",193
"Лицо","Дерево","Северский район",5195
"Лицо","Дерево","Славянский район",29
"Лицо","Дерево","Староминский район",168
"Лицо","Дерево","Тбилисский район",192
"Лицо","Дерево","Темрюкский район",429
"Лицо","Дерево","Тимашевский район",569
"Лицо","Дерево","Тихорецкий район",2959
"Лицо","Дерево","Туапсинский район",14695
"Лицо","Дерево","Успенский район",1410
"Лицо","Дерево","Усть-Лабинский район",484
"Лицо","Дерево","Щербиновский район",373
"Лицо","Дерево","Города краевого подчинения Краснодарского края",0
"Лицо","Дерево","г. Краснодар",1813
"Лицо","Дерево","Сельские населенные пункты, подчиненные администрации г. Анапа",243
"Лицо","Дерево","г. Армавир",567
"Лицо","Дерево","г. Белореченск",3910
"Лицо","Дерево","г. Геленджик",1311
"Лицо","Дерево","г. Горячий Ключ",9758
"Лицо","Дерево","г. Ейск",318
"Лицо","Дерево","г. Кропоткин",141
"Лицо","Дерево","г. Крымск",399
"Лицо","Дерево","Сельские населенные пункты, подчиненные администрации г. Лабинска",4195
"Лицо","Дерево","г. Новороссийск",764
"Лицо","Дерево","г. Славянск-на-Кубани",72
"Лицо","Дерево","г. Сочи",35648
"Лицо","Дерево","г. Тихорецк",1927
"Лицо","Дерево","г. Туапсе",4368
"Лицо","Смешанный материал","Краснодарский край",0
"Лицо","Смешанный материал","Районы Краснодарского края",0
"Лицо","Смешанный материал","Абинский район",18798
"Лицо","Смешанный материал","Анапский район",11524
"Лицо","Смешанный материал","Апшеронский район",12856
"Лицо","Смешанный материал","Белоглинский район",6222
"Лицо","Смешанный материал","Белореченский район",8185
"Лицо","Смешанный материал","Брюховецкий район",10615
"Лицо","Смешанный материал","Выселковский район",12404
"Лицо","Смешанный материал","Гулькевичский район",10543
"Лицо","Смешанный материал","Динской район",25680
"Лицо","Смешанный материал","Ейский район",9863
