SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Лицо and Материал наружных стен дома by Наименование территориальной единицы"
"Counting: Лицо"

"Counting","Материал наружных стен дома","Наименование территориальной единицы",
"Лицо","Блок","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",579
"Лицо","Блок","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Блок","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Блок","Кудепстинский сельский округ",1686
"Лицо","Блок","Молдовский сельский округ",3798
"Лицо","Блок","Нижнешиловский сельский округ",5798
"Лицо","Блок","Сельские округа, подчиненные администрации Лазаревского района г. Сочи",0
"Лицо","Блок","Верхнелооский сельский округ",2660
"Лицо","Блок","Волковский сельский округ",2282
"Лицо","Блок","Кировский сельский округ",55
"Лицо","Блок","Кичмайский сельский округ",679
"Лицо","Блок","Лыготхский сельский округ",251
"Лицо","Блок","Солохаульский сельский округ",33
"Лицо","Блок","Сельские округа, подчиненные администрации Хостинского района г. Сочи",0
"Лицо","Блок","Барановский сельский округ",2908
"Лицо","Блок","Раздольский сельский округ",1891
"Лицо","Дерево","г. Сочи",0
"Лицо","Дерево","Населенные пункты, подчиненные администрации Адлерского района г.Сочи",0
"Лицо","Дерево","Населенные пункты, подчиненные администрации Лазаревского района г.Сочи",0
"Лицо","Дерево","Населенные пункты, подчиненные администрации Хостинского района г.Сочи",0
"Лицо","Дерево","г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Дерево","пгт. Красная Поляна с подчиненными его администрации населенными пунктами, находящийся в подчинении администрации Адлерского района г. Сочи",0
"Лицо","Дерево","Адлерский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Дерево","Лазаревский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Дерево","Хостинский район г. Сочи с подчиненными его администрации населенными пунктами",0
"Лицо","Дерево","г. Сочи с подчиненными непосредственно администрациям его районов населенными пунктами",0
"Лицо","Дерево","Районы г. Сочи",0
"Лицо","Дерево","Адлерский район",4197
"Лицо","Дерево","Лазаревский район",8242
"Лицо","Дерево","Хостинский район",4888
"Лицо","Дерево","Центральный район",5001
"Лицо","Дерево","Адлерский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Дерево","Лазаревский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Дерево","Хостинский район г. Сочи с подчиненными непосредственно его администрации сельскими населенными пунктами",0
"Лицо","Дерево","Поселки городского типа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Дерево","Сельские населенные пункты, подчиненные администрации пгт. Красная Поляна, находящегося в подчинении администрации Адлерского района г. Сочи",2671
"Лицо","Дерево","Населенные пункты, подчиненные администрации г. Сочи",0
"Лицо","Дерево","Сельские округа, подчиненные администрации Адлерского района г. Сочи",0
"Лицо","Дерево","Кудепстинский сельский округ",1131
"Лицо","Дерево","Молдовский сельский округ",1179
