SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Образование"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Образование";
"Питкярантский район";"Лицо";"Начальное общее (начальное)";1930
"Питкярантский район";"Лицо";"Основное общее (неполное среднее)";2613
"Питкярантский район";"Лицо";"Среднее (полное) общее";1896
"Питкярантский район";"Лицо";"Среднее профессиональное (среднее специальное)";2353
"Питкярантский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";37
"Питкярантский район";"Лицо";"Высшее профессиональное (высшее)";520
"Питкярантский район";"Лицо";"Послевузовское профессиональное";8
"Питкярантский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";93
"Питкярантский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";72
"Прионежский район";"Лицо";"Не указавшие образование";1528
"Прионежский район";"Лицо";"Начальное общее (начальное)";2800
"Прионежский район";"Лицо";"Основное общее (неполное среднее)";4057
"Прионежский район";"Лицо";"Среднее (полное) общее";4075
"Прионежский район";"Лицо";"Среднее профессиональное (среднее специальное)";4149
"Прионежский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";210
"Прионежский район";"Лицо";"Высшее профессиональное (высшее)";1219
"Прионежский район";"Лицо";"Послевузовское профессиональное";17
"Прионежский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";122
"Прионежский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";84
"Пряжинский район";"Лицо";"Не указавшие образование";1485
"Пряжинский район";"Лицо";"Начальное общее (начальное)";3223
"Пряжинский район";"Лицо";"Основное общее (неполное среднее)";3682
"Пряжинский район";"Лицо";"Среднее (полное) общее";3735
"Пряжинский район";"Лицо";"Среднее профессиональное (среднее специальное)";3507
"Пряжинский район";"Лицо";"Неполное высшее профессиональное (незаконченное высшее)";156
"Пряжинский район";"Лицо";"Высшее профессиональное (высшее)";1292
"Пряжинский район";"Лицо";"Послевузовское профессиональное";12
"Пряжинский район";"Лицо";"Не имеющие начального общего образования - умеющие читать и писать";135
"Пряжинский район";"Лицо";"Не имеющие начального общего образования - не умеющие читать и писать (неграмотные)";112
"Пудожский район";"Лицо";"Не указавшие образование";2868
"Пудожский район";"Лицо";"Начальное общее (начальное)";4950
"Пудожский район";"Лицо";"Основное общее (неполное среднее)";7012
"Пудожский район";"Лицо";"Среднее (полное) общее";5961
