"","region","year","value","age"
"294","г. Подольск",1907,0.0134081957596581,95
"295","г. Протвино",1907,NA,95
"296","г. Пущино",1907,0.0301704631166088,95
"297","г. Реутов",1907,0.0105483841194077,95
"298","г. Рошаль",1907,NA,95
"299","г. Серпухов",1907,0.0149193960000314,95
"300","г. Троицк",1907,0.015333660451423,95
"301","г. Фрязино",1907,0.0191783974531088,95
"302","г. Электросталь",1907,0.010374017926303,95
"303","г. Юбилейный",1907,NA,95
"304","Дмитровский район",1907,0.0165323413928498,95
"305","Домодедовский район",1907,0.00990385012173482,95
"306","Егорьевский район",1907,0.0167663917677016,95
"307","Зарайский район",1907,NA,95
"308","Истринский район",1907,0.0182880631199436,95
"309","Каширский район",1907,0.0129126673266474,95
"310","Клинский район",1907,0.0142198066106301,95
"311","Коломенский район",1907,0.0149966257592042,95
"312","Красногорский район",1907,0.0122339124051872,95
"313","Ленинский район",1907,0.0163026913617,95
"314","Лотошинский район",1907,NA,95
"315","Луховицкий район",1907,0.0176067609962225,95
"316","Люберецкий район",1907,0.0074886291079072,95
"317","Можайский район",1907,0.0196829530485866,95
"318","Мытищинский район",1907,0.0152384269589542,95
"319","Наро-Фоминский район",1907,0.0135649166040231,95
"320","Ногинский район",1907,0.0131857699171055,95
"321","Одинцовский район",1907,0.0137671183247591,95
"322","Озёрский район",1907,0.0281745696334489,95
"323","Орехово-Зуевский район",1907,0.0101282916948008,95
"324","Павлово-Посадский район",1907,0.0137738336514433,95
"325","пгт. Восход",1907,NA,95
"326","пгт. Молодёжный",1907,NA,95
"327","пгт. Приокск",1907,NA,95
"328","Подольский район",1907,0.0208363177017542,95
"329","Пушкинский район",1907,0.0156121200009992,95
"330","Раменский район",1907,0.0153188407815394,95
"331","Рузский район",1907,0.00958451142952988,95
"332","Сельские населенные пункты, подчиненные администрации г. Звенигород",1907,NA,95
"333","Сельские населенные пункты, подчиненные администрации г. Королёв",1907,0.0147728817164907,95
"334","Сельские населенные пункты, подчиненные администрации г. Щербинка",1907,0.0251871042026482,95
"335","Сергиево-Посадский район",1907,0.0145668352888206,95
"336","Серебряно-Прудский район",1907,0.0366002440016267,95
"337","Серпуховский район",1907,NA,95
"338","Солнечногорский район",1907,0.0140088338057881,95
"339","Ступинский район",1907,0.0107615597087205,95
"340","Талдомский район",1907,0.0216600242592272,95
"341","Химкинский район",1907,0.0086971142974761,95
"342","Чеховский район",1907,0.00864453665283541,95
"343","Шатурский район",1907,0.0184969124384622,95
"344","Шаховской район",1907,NA,95
"345","Щёлковский район",1907,0.0135078345440355,95
"346","Балашихинский район",1908,0.015499781854922,94
"347","Волоколамский район",1908,0.0266929489548684,94
"348","Воскресенский район",1908,0.0198209507449374,94
"349","г. Бронницы",1908,NA,94
"350","г. Дзержинский",1908,0.0217785843920145,94
"351","г. Долгопрудный",1908,0.0148859868732661,94
"352","г. Дубна",1908,0.01154505871487,94
"353","г. Железнодорожный",1908,0.00911593648015461,94
"354","г. Жуковский",1908,0.0261004868744667,94
"355","г. Ивантеевка",1908,0.0273801142141907,94
"356","г. Климовск",1908,0.0146883319563022,94
"357","г. Коломна",1908,0.0248125275694751,94
"358","г. Красноармейск",1908,0.0270583687669115,94
"359","г. Краснознаменск",1908,NA,94
"360","г. Лобня",1908,0.0155327741534638,94
"361","г. Лыткарино",1908,0.0158249757680059,94
"362","г. Орехово-Зуево",1908,0.0182155395111612,94
"363","г. Подольск",1908,0.018994943992849,94
"364","г. Протвино",1908,NA,94
"365","г. Пущино",1908,0.0452556946749133,94
"366","г. Реутов",1908,0.0210967682388154,94
"367","г. Рошаль",1908,NA,94
"368","г. Серпухов",1908,0.0219864783158358,94
"369","г. Троицк",1908,0.0214671246319921,94
"370","г. Фрязино",1908,0.0210962371984197,94
"371","г. Электросталь",1908,0.00829921434104238,94
"372","г. Юбилейный",1908,NA,94
"373","Дмитровский район",1908,0.0289315974374871,94
"374","Домодедовский район",1908,0.0107291709652127,94
