"","region","year","value","age"
"271","Дивеевский район",1907,NA,95
"272","Княгининский район",1907,NA,95
"273","Ковернинский район",1907,0.0421269425201273,95
"274","Краснобаковский район",1907,NA,95
"275","Краснооктябрьский район",1907,NA,95
"276","Кстовский район",1907,NA,95
"277","Кулебакский район",1907,NA,95
"278","Лукояновский район",1907,0.032069970845481,95
"279","Лысковский район",1907,0.0329009212257943,95
"280","Навашинский район",1907,0.0290549865620687,95
"281","Павловский район",1907,0.0138802137552918,95
"282","Первомайский район",1907,0.0179912742319975,95
"283","Перевозский район",1907,NA,95
"284","Пильнинский район",1907,0.0435315999841703,95
"285","Починковский район",1907,0.0386203618430825,95
"286","Сельские населенные пункты, подчиненные администрации г. Дзержинска",1907,0.0149871672380524,95
"287","Сельские населенные пункты, подчиненные администрации г. Кулебаки",1907,NA,95
"288","Семеновский район",1907,0.0240192153722978,95
"289","Сергачский район",1907,0.0196061955577963,95
"290","Сеченовский район",1907,NA,95
"291","Сокольский район",1907,NA,95
"292","Сосновский район",1907,0.0412522344960352,95
"293","Спасский район",1907,NA,95
"294","Тонкинский район",1907,NA,95
"295","Тоншаевский район",1907,NA,95
"296","Уренский район",1907,NA,95
"297","Чкаловский район",1907,0.0355057598232602,95
"298","Шарангский район",1907,NA,95
"299","Шатковский район",1907,NA,95
"300","Шахунский район",1907,0.0181130708447483,95
"301","Ардатовский район",1908,NA,94
"302","Арзамасский район",1908,0.0217978899642515,94
"303","Балахнинский район",1908,0.0457038391224863,94
"304","Богородский район",1908,0.0394062787337449,94
"305","Большеболдинский район",1908,0.0691456668715427,94
"306","Большемурашкинский район",1908,0.0808734330772341,94
"307","Борский район",1908,0.0344498207043422,94
"308","Бутурлинский район",1908,0.0429105621283639,94
"309","Вадский район",1908,NA,94
"310","Варнавинский район",1908,0.0509900569388969,94
"311","Вачский район",1908,NA,94
"312","Ветлужский район",1908,NA,94
"313","Вознесенский район",1908,0.0457270602581039,94
"314","Володарский район",1908,0.0289368597719775,94
"315","Воротынский район",1908,0.0509188538628894,94
"316","Воскресенский район",1908,0.0280011200448018,94
"317","Выксунский район",1908,0.0271674533908378,94
"318","Гагинский район",1908,0.0465085376386951,94
"319","г. Арзамас",1908,0.0221616879819013,94
"320","г. Балахна",1908,0.0157753588894147,94
"321","г. Богородск",1908,0.0370708338086004,94
"322","г. Бор",1908,0.0150895312185635,94
"323","г. Выкса",1908,0.0146208330625772,94
