"","region","year","value","age","ID_2","NAME_2"
"1386","Прионежский район",1967,1.15667141760772,35,29135,"Prionezhskiy rayon"
"1387","Прионежский район",1916,0.0438548404780178,86,29135,"Prionezhskiy rayon"
"1388","Прионежский район",1946,0.948360925337134,56,29135,"Prionezhskiy rayon"
"1389","Прионежский район",1925,0.570112926214231,77,29135,"Prionezhskiy rayon"
"1390","Прионежский район",1983,1.45817344589409,19,29135,"Prionezhskiy rayon"
"1391","Прионежский район",1966,1.22245367832475,36,29135,"Prionezhskiy rayon"
"1392","Прионежский район",1952,1.93509483609253,50,29135,"Prionezhskiy rayon"
"1393","Прионежский район",1904,NA,98,29135,"Prionezhskiy rayon"
"1394","Прионежский район",1931,0.931915360157877,71,29135,"Prionezhskiy rayon"
"1395","Прионежский район",1927,0.761977853305559,75,29135,"Prionezhskiy rayon"
"1396","Прионежский район",1934,0.69071373752878,68,29135,"Prionezhskiy rayon"
"1397","Прионежский район",1929,0.909987939918869,73,29135,"Prionezhskiy rayon"
"1398","Прионежский район",1954,2.2146694441399,48,29135,"Prionezhskiy rayon"
"1399","Прионежский район",1906,NA,96,29135,"Prionezhskiy rayon"
"1400","Прионежский район",1932,1.07444359171144,70,29135,"Prionezhskiy rayon"
"1401","Прионежский район",1968,1.09088915689069,34,29135,"Prionezhskiy rayon"
"1402","Прионежский район",1970,1.09637101195044,32,29135,"Prionezhskiy rayon"
"1403","Прионежский район",1915,0.115118956254797,87,29135,"Prionezhskiy rayon"
"1404","Прионежский район",1955,1.8473851551365,47,29135,"Prionezhskiy rayon"
"1405","Прионежский район",1971,1.04155246135292,31,29135,"Prionezhskiy rayon"
"1406","Прионежский район",1989,1.81449402477798,13,29135,"Prionezhskiy rayon"
"1407","Прионежский район",1918,0.19734678215108,84,29135,"Prionezhskiy rayon"
"1408","Прионежский район",1991,1.17311698278698,11,29135,"Prionezhskiy rayon"
"1409","Прионежский район",1907,NA,95,29135,"Prionezhskiy rayon"
"1410","Прионежский район",1953,1.93509483609253,49,29135,"Prionezhskiy rayon"
"1411","Прионежский район",1990,1.3649819098783,12,29135,"Prionezhskiy rayon"
"1412","Прионежский район",1969,1.14022585242846,33,29135,"Prionezhskiy rayon"
"1413","Прионежский район",1908,NA,94,29135,"Prionezhskiy rayon"
"1414","Прионежский район",1992,1.00866133099441,10,29135,"Prionezhskiy rayon"
"1415","Пряжинский район",1923,0.426857406552838,79,29136,"Pryazhinskiy rayon"
"1416","Пряжинский район",1921,0.386479003230272,81,29136,"Pryazhinskiy rayon"
"1417","Пряжинский район",1927,0.997923396400554,75,29136,"Pryazhinskiy rayon"
"1418","Пряжинский район",1909,0.0288417166589755,93,29136,"Pryazhinskiy rayon"
"1419","Пряжинский район",1933,1.21712044300877,69,29136,"Pryazhinskiy rayon"
"1420","Пряжинский район",1926,0.894093216428242,76,29136,"Pryazhinskiy rayon"
"1421","Пряжинский район",1925,0.749884633133364,77,29136,"Pryazhinskiy rayon"
"1422","Пряжинский район",2000,0.986386709736964,2,29136,"Pryazhinskiy rayon"
"1423","Пряжинский район",1930,1.21712044300877,72,29136,"Pryazhinskiy rayon"
"1424","Пряжинский район",1924,0.53068758652515,78,29136,"Pryazhinskiy rayon"
"1425","Пряжинский район",1931,1.21135209967697,71,29136,"Pryazhinskiy rayon"
"1426","Пряжинский район",1919,0.28264882325796,83,29136,"Pryazhinskiy rayon"
"1427","Пряжинский район",1910,0.051915089986156,92,29136,"Pryazhinskiy rayon"
"1428","Пряжинский район",2002,0.709506229810798,0,29136,"Pryazhinskiy rayon"
"1429","Пряжинский район",1912,0.0865251499769266,90,29136,"Pryazhinskiy rayon"
"1430","Пряжинский район",1956,1.8920166128288,46,29136,"Pryazhinskiy rayon"
"1431","Пряжинский район",1916,0.0980618366405168,86,29136,"Pryazhinskiy rayon"
"1432","Пряжинский район",1922,0.357637286571297,80,29136,"Pryazhinskiy rayon"
"1433","Пряжинский район",1928,1.21712044300877,74,29136,"Pryazhinskiy rayon"
"1434","Пряжинский район",1914,0.0922934933087217,88,29136,"Pryazhinskiy rayon"
"1435","Пряжинский район",1932,1.45939086294416,70,29136,"Pryazhinskiy rayon"
"1436","Пряжинский район",1958,2.09967697277342,44,29136,"Pryazhinskiy rayon"
"1437","Пряжинский район",1934,0.957544993077988,68,29136,"Pryazhinskiy rayon"
"1438","Пряжинский район",1937,1.31518227964928,65,29136,"Pryazhinskiy rayon"
"1439","Пряжинский район",1913,0.0461467466543609,89,29136,"Pryazhinskiy rayon"
"1440","Пряжинский район",1957,1.85163820950623,45,29136,"Pryazhinskiy rayon"
"1441","Пряжинский район",2001,0.899861559760037,1,29136,"Pryazhinskiy rayon"
"1442","Пряжинский район",1936,1.20558375634518,66,29136,"Pryazhinskiy rayon"
"1443","Пряжинский район",1929,1.08444854637748,73,29136,"Pryazhinskiy rayon"
"1444","Пряжинский район",1915,0.126903553299492,87,29136,"Pryazhinskiy rayon"
"1445","Пряжинский район",1935,1.17097369635441,67,29136,"Pryazhinskiy rayon"
"1446","Пряжинский район",1911,0.0749884633133364,91,29136,"Pryazhinskiy rayon"
"1447","Пряжинский район",NA,NA,NA,29136,"Pryazhinskiy rayon"
"1448","Пряжинский район",1938,1.14790032302723,64,29136,"Pryazhinskiy rayon"
"1449","Пряжинский район",1920,0.334563913244116,82,29136,"Pryazhinskiy rayon"
"1450","Пряжинский район",1917,0.103830179972312,85,29136,"Pryazhinskiy rayon"
"1451","Пряжинский район",1903,NA,99,29136,"Pryazhinskiy rayon"
"1452","Пряжинский район",1998,0.80179972311952,4,29136,"Pryazhinskiy rayon"
"1453","Пряжинский район",1940,0.784494693124135,62,29136,"Pryazhinskiy rayon"
"1454","Пряжинский район",1947,1.10752191970466,55,29136,"Pryazhinskiy rayon"
"1455","Пряжинский район",1977,1.36709736963544,25,29136,"Pryazhinskiy rayon"
"1456","Пряжинский район",1984,1.11905860636825,18,29136,"Pryazhinskiy rayon"
"1457","Пряжинский район",1905,NA,97,29136,"Pryazhinskiy rayon"
"1458","Пряжинский район",1963,1.5343793262575,39,29136,"Pryazhinskiy rayon"
"1459","Пряжинский район",1959,1.86317489616982,43,29136,"Pryazhinskiy rayon"
"1460","Пряжинский район",1993,0.830641439778496,9,29136,"Pryazhinskiy rayon"
"1461","Пряжинский район",1979,1.21712044300877,23,29136,"Pryazhinskiy rayon"
"1462","Пряжинский район",1972,1.25173050299954,30,29136,"Pryazhinskiy rayon"
"1463","Пряжинский район",1907,NA,95,29136,"Pryazhinskiy rayon"
"1464","Пряжинский район",1965,1.30941393631749,37,29136,"Pryazhinskiy rayon"
"1465","Пряжинский район",1944,0.54222427318874,58,29136,"Pryazhinskiy rayon"
"1466","Пряжинский район",1988,1.96700507614213,14,29136,"Pryazhinskiy rayon"
"1467","Пряжинский район",1981,0.951776649746193,21,29136,"Pryazhinskiy rayon"
"1468","Пряжинский район",1974,1.0556068297185,28,29136,"Pryazhinskiy rayon"
"1469","Пряжинский район",1960,2.05353022611906,42,29136,"Pryazhinskiy rayon"
"1470","Пряжинский район",1994,0.847946469773881,8,29136,"Pryazhinskiy rayon"
"1471","Пряжинский район",1939,0.986386709736964,63,29136,"Pryazhinskiy rayon"
"1472","Пряжинский район",1942,0.449930779880019,60,29136,"Pryazhinskiy rayon"
"1473","Пряжинский район",1918,0.161513613290263,84,29136,"Pryazhinskiy rayon"
"1474","Пряжинский район",1904,NA,98,29136,"Pryazhinskiy rayon"
"1475","Пряжинский район",1999,0.796031379787725,3,29136,"Pryazhinskiy rayon"
